epoch = 125, train-loss = 0.00018072813749313353, eval_loss = 0.0003919793328024306
epoch = 126, train-loss = 0.00019003981724381448, eval_loss = 0.0003771215747549849
epoch = 127, train-loss = 0.0001795482449233532, eval_loss = 0.0005293887038275881
epoch = 128, train-loss = 0.0001754895970225334, eval_loss = 0.0003605583717800536
epoch = 129, train-loss = 0.00018418161198496819, eval_loss = 0.00034835769461010987
epoch = 130, train-loss = 0.00018228428438305856, eval_loss = 0.000381254643764136
epoch = 131, train-loss = 0.0001650087721645832, eval_loss = 0.00042710105343809666
epoch = 132, train-loss = 0.00016910502687096597, eval_loss = 0.00025102223779233
epoch = 133, train-loss = 0.00016598658636212348, eval_loss = 0.0004519675770458185
epoch = 134, train-loss = 0.00017204202711582184, eval_loss = 0.0003703307219833698
epoch = 135, train-loss = 0.00017514677718281747, eval_loss = 0.0003006648061410436
epoch = 136, train-loss = 0.00016542352735996247, eval_loss = 0.00035053203409572816
epoch = 137, train-loss = 0.00016019180417060853, eval_loss = 0.00033189851860955077
epoch = 138, train-loss = 0.0001584082655608654, eval_loss = 0.0002909793325190274
epoch = 139, train-loss = 0.00015585961751639842, eval_loss = 0.0003243299236275115
epoch = 140, train-loss = 0.0001590300351381302, eval_loss = 0.00026339043002083617
epoch = 141, train-loss = 0.00016175292432308197, eval_loss = 0.00032172977643192937
epoch = 142, train-loss = 0.00015310985967516898, eval_loss = 0.0003816012714831334
epoch = 143, train-loss = 0.00014588930644094945, eval_loss = 0.00032695034905424656
epoch = 144, train-loss = 0.0001444331742823124, eval_loss = 0.0003146960417617042
epoch = 145, train-loss = 0.0001496392022818327, eval_loss = 0.00024861789677502975
epoch = 146, train-loss = 0.00014656076207756997, eval_loss = 0.0002959839437367781
epoch = 147, train-loss = 0.00014493683353066444, eval_loss = 0.000264146330081067
epoch = 148, train-loss = 0.00015090860426425934, eval_loss = 0.00030532082156190334
epoch = 149, train-loss = 0.00013983125798404218, eval_loss = 0.0003583093859114737
epoch = 150, train-loss = 0.00013476130552589894, eval_loss = 0.0002862640990401214
